,proteinName,geneName,synonyms,geneID,geneENS
A0A1B0GUI7,Putative uncharacterized protein BRD3OS,BRD3OS,"['LINC00094', 'NCRNA00094']",,ENSG00000235106
A0A1B0GUJ8,Paraneoplastic antigen-like protein 8C,PNMA8C,[],,ENSG00000277531
A0A1B0GUQ0,Protein FAM236A,FAM236A,[],100132304,ENSG00000275520
A0A1B0GUS0,Uncharacterized protein C19orf85,C19orf85,[],,ENSG00000283567
A0A1B0GUT2,Uncharacterized protein C10orf143,C10orf143,[],,ENSG00000237489
A0A1B0GUU1,Uncharacterized protein C17orf113,C17orf113,[],,ENSG00000267221
A0A1B0GUV1,Uncharacterized protein C17orf114,C17orf114,[],,ENSG00000262165
A0A1B0GUV7,Testis-expressed protein 48,TEX48,[],100505478,ENSG00000230601
A0A1B0GUW6,Uncharacterized protein SPEM3,SPEM3,[],,ENSG00000284090
A0A1B0GUY1,MARCO-like protein,MARCOL,[],,ENSG00000248109
A0A1B0GV03,Golgin subfamily A member 6-like protein 7,GOLGA6L7,[],,ENSG00000261649
A0A1B0GV22,Protein FAM236B,FAM236B,[],100132304,ENSG00000268994
A0A1B0GV85,Reelin domain-containing protein 1,REELD1,[],,ENSG00000250673
A0A1B0GVD1,Protein FAM237B,FAM237B,[],,ENSG00000283267
A0A1B0GVG4,Coiled-coil domain-containing protein 194,CCDC194,[],,ENSG00000269720
A0A1B0GVG6,Testis-expressed protein 54,TEX54,[],,ENSG00000283268
A0A1B0GVH4,Serine protease-like protein 51,PRSS51,[],,ENSG00000253649
A0A1B0GVH6,Uncharacterized protein C13orf42,C13orf42,[],,ENSG00000226792
A0A1B0GVH7,IQ domain-containing protein M,IQCM,[],285423,ENSG00000234828
A0A1B0GVM5,Embryonic testis differentiation protein homolog C,ETDC,[],,ENSG00000283644
A0A1B0GVM6,Uncharacterized protein C11orf97,C11orf97,[],643037,ENSG00000257057
A0A1B0GVN3,Uncharacterized protein C2orf92,C2orf92,['LINC01125'],,ENSG00000228486
A0A1B0GVQ0,Small regulatory polypeptide of amino acid response,SPAAR,"['LINC00961', 'SPAR']",158376,ENSG00000235387
A0A1B0GVQ3,Coiled-coil domain-containing protein 200,CCDC200,[],,ENSG00000236383
A0A1B0GVS7,MyoD family inhibitor domain-containing protein 2,MDFIC2,[],,ENSG00000242120
A0A1B0GVT2,Small integral membrane protein 36,SMIM36,[],,ENSG00000261873
A0A1B0GVV1,Small integral membrane protein 35,SMIM35,['TMPRSS4-AS1'],,ENSG00000255274
A0A1B0GVX0,LITAF domain-containing protein,LITAFD,[],,ENSG00000283516
A0A1B0GVY4,Small integral membrane protein 31,SMIM31,[],,ENSG00000248771
A0A1B0GVZ6,Methyl-CpG-binding domain protein 3-like 2B,MBD3L2B,[],,ENSG00000196589
A0A1B0GW64,Small integral membrane protein 33,SMIM33,[],,ENSG00000288274
A0A1B0GWB2,Proline rich transmembrane protein 1B,PRRT1B,['IFITMD8'],,ENSG00000283526
A0A1B0GWH4,"Heat shock transcription factor, X-linked member 3",HSFX3,[],101928917,ENSG00000283697
A0A1W2PP97,Thrombospondin type-1 domain-containing protein 8,THSD8,[],,ENSG00000284491
A0A1W2PPF3,Double homeobox protein B,DUXB,[],,ENSG00000282757
A0A1W2PPM1,Cytoplasmic polyadenylated homeobox-like protein,CPHXL,['CPHX1'],,ENSG00000283755
A0A1W2PQ73,ETS domain-containing transcription factor ERF-like,ERFL,[],,ENSG00000268041
A0A1W2PR48,Transducin-like enhancer protein 7,TLE7,[],,ENSG00000260734
A0A1W2PR82,Protein PERCC1,PERCC1,[],,ENSG00000284395
A0A1W2PRP0,Forkhead box protein L3,FOXL3,[],,ENSG00000248767
A0A1W2PS18,Transmembrane protein PMIS2,PMIS2,[],,ENSG00000283758
A0A286YEV6,Small cysteine and glycine repeat-containing protein 4,SCYGR4,['KRTAP28-4'],,ENSG00000284631
A0A286YEX9,Small cysteine and glycine repeat-containing protein 10,SCYGR10,['KRTAP28p2'],,ENSG00000284622
A0A286YEY9,Small cysteine and glycine repeat-containing protein 1,SCYGR1,['KRTAP28-1'],,ENSG00000284629
A0A286YF01,Small cysteine and glycine repeat-containing protein 7,SCYGR7,['KRTAP28-7'],,ENSG00000284718
A0A286YF46,Small cysteine and glycine repeat-containing protein 5,SCYGR5,['KRTAP28-5'],,ENSG00000284667
A0A286YF58,Transmembrane protein 271,TMEM271,[],,ENSG00000273238
A0A286YF60,Small cysteine and glycine repeat-containing protein 3,SCYGR3,['KRTAP28-3'],,ENSG00000284704
A0A286YF77,Small cysteine and glycine repeat-containing protein 6,SCYGR6,['KRTAP28-6'],,ENSG00000284725
A0A286YFB4,Small cysteine and glycine repeat-containing protein 2,SCYGR2,['KRTAP28-2'],,ENSG00000284643
A0A286YFG1,Small cysteine and glycine repeat-containing protein 8,SCYGR8,['KRTAP28-8'],,ENSG00000284635
A0A2R8Y4Y8,Oocyte-secreted protein 4B,OOSP4B,[],,ENSG00000285463
A0A2R8YFL7,Oocyte-secreted protein 4A,OOSP4A,[],,ENSG00000285010
A0A2R8YFM6,Oocyte-secreted protein 3,OOSP3,[],,ENSG00000285231
A0A2Z4LIS9,Forkhead box protein O3B,FOXO3B,[],,ENSG00000240445
A0A3B3IT52,Putative uncharacterized protein MSANTD5,MSANTD5,[],102724657,ENSG00000285891
A0A494C086,Putative speedy protein E21,SPDYE21,[],,ENSG00000230358
A0A494C0N9,Protein FAM246B,FAM246B,[],,ENSG00000286175
A0A494C0Y3,Protein FAM246A,FAM246A,[],,ENSG00000286102
A0A494C0Z2,Putative speedy protein E13,SPDYE13,[],,ENSG00000286038
A0A494C191,Putative speedy protein E9,SPDYE9,[],,ENSG00000262461
A0A5F9ZHS7,NFIL3 like protein,NFILZ,[],,ENSG00000268480
A0AUZ9,KAT8 regulatory NSL complex subunit 1-like protein,KANSL1L,['C2orf67'],151050,ENSG00000144445
A0AV02,Solute carrier family 12 member 8,SLC12A8,['CCC9'],84561,ENSG00000221955
A0AV96,RNA-binding protein 47,RBM47,[],54502,ENSG00000163694
A0AVF1,Intraflagellar transport protein 56,TTC26,['IFT56'],79989,ENSG00000105948
A0AVI2,Fer-1-like protein 5,FER1L5,[],90342,ENSG00000249715
A0AVK6,Transcription factor E2F8,E2F8,[],79733,ENSG00000129173
A0AVT1,Ubiquitin-like modifier-activating enzyme 6,UBA6,"['MOP4', 'UBE1L2']",55236,ENSG00000033178
A0FGR8,Extended synaptotagmin-2,ESYT2,"['FAM62B', 'KIAA1228']",57488,ENSG00000117868
A0FGR9,Extended synaptotagmin-3,ESYT3,['FAM62C'],83850,ENSG00000158220
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19,['LCMR1'],219541,ENSG00000156603
A0JNW5,Bridge-like lipid transfer protein family member 3B,BLTP3B,"['KIAA0701', 'SHIP164', 'UHRF1BP1L']",23074,ENSG00000111647
A0JP26,POTE ankyrin domain family member B3,POTEB3,[],102724631,ENSG00000278522
A0MZ66,Shootin-1,SHTN1,['KIAA1598'],57698,ENSG00000187164
A0PG75,Phospholipid scramblase family member 5,PLSCR5,[],389158,ENSG00000231213
A0PJW6,Transmembrane protein 223,TMEM223,[],79064,ENSG00000168569
A0PJW8,Death-associated protein-like 1,DAPL1,['EEDA'],92196,ENSG00000163331
A0PJX2,TLD domain-containing protein 2,TLDC2,[],140711,ENSG00000101342
A0PJX4,Protein shisa-3 homolog,SHISA3,[],152573,ENSG00000178343
A0PJX8,Transmembrane protein 82,TMEM82,[],388595,ENSG00000162460
A0PJY2,Fez family zinc finger protein 1,FEZF1,"['FEZ', 'ZNF312B']",389549,ENSG00000128610
A0PJZ0,Putative ankyrin repeat domain-containing protein 20A5,ANKRD20A5P,['ANKRD20A5'],,
A0PJZ3,Glucoside xylosyltransferase 2,GXYLT2,['GLT8D4'],727936,ENSG00000172986
A0PK05,Transmembrane protein 72,TMEM72,"['C10orf127', 'KSP37']",643236,ENSG00000187783
A1A4F0,Putative uncharacterized protein SLC66A1L,SLC66A1L,"['C3orf55', 'PQLC2L']",152078,
A1A4G5,Leukemia NUP98 fusion partner 1,LNP1,['NP3'],348801,ENSG00000206535
A1A4S6,Rho GTPase-activating protein 10,ARHGAP10,['GRAF2'],79658,ENSG00000071205
A1A4V9,Cilia- and flagella-associated protein 119,CFAP119,"['C16orf93', 'CCDC189']",90835,ENSG00000196118
A1A519,Protein FAM170A,FAM170A,['ZNFD'],340069,ENSG00000164334
A1A580,Keratin-associated protein 23-1,KRTAP23-1,['KAP23.1'],337963,ENSG00000186980
A1A5B4,Anoctamin-9,ANO9,"['PIG5', 'TMEM16J', 'TP53I5']",338440,ENSG00000185101
A1A5C7,Solute carrier family 22 member 23,SLC22A23,['C6orf85'],63027,ENSG00000137266
A1A5D9,BICD family-like cargo adapter 2,BICDL2,"['BICDR2', 'CCDC64B']",146439,ENSG00000162069
A1E959,Odontogenic ameloblast-associated protein,ODAM,['APIN'],54959,ENSG00000109205
A1IGU5,Rho guanine nucleotide exchange factor 37,ARHGEF37,[],389337,ENSG00000183111
A1KXE4,Myelin-associated neurite-outgrowth inhibitor,FAM168B,"['KIAA0280L', 'MANI']",130074,ENSG00000152102
A1KZ92,Probable oxidoreductase PXDNL,PXDNL,['VPO2'],137902,ENSG00000147485
A1L020,RNA-binding protein MEX3A,MEX3A,['RKHD4'],92312,ENSG00000254726
A1L162,Glutamate-rich protein 2,ERICH2,[],285141,ENSG00000204334
A1L168,Uncharacterized protein C20orf202,C20orf202,[],400831,ENSG00000215595
A1L170,Uncharacterized protein C1orf226,C1orf226,[],400793,ENSG00000239887
A1L1A6,Immunoglobulin superfamily member 23,IGSF23,[],147710,ENSG00000216588
A1L390,Pleckstrin homology domain-containing family G member 3,PLEKHG3,['KIAA0599'],26030,ENSG00000126822
A1L3X4,Putative metallothionein MT1DP,MT1DP,['MTM'],,
A1L429,G antigen 12B/C/D/E,GAGE12B,[],729431,ENSG00000237671
A1L443,NUT family member 2F,NUTM2F,['FAM22F'],54754,ENSG00000130950
A1L453,Serine protease 38,PRSS38,['MPN2'],339501,ENSG00000185888
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,[],284297,ENSG00000179954
A1L4K1,Fibronectin type III and SPRY domain-containing protein 2,FSD2,['SPRYD1'],123722,ENSG00000186628
A1L4L8,PLAC8-like protein 1,PLAC8L1,[],153770,ENSG00000173261
A1L4Q6,,,[],,
A1X283,SH3 and PX domain-containing protein 2B,SH3PXD2B,"['FAD49', 'KIAA1295', 'TKS4']",285590,ENSG00000174705
A1XBS5,CBY1-interacting BAR domain-containing protein 1,CIBAR1,"['FAM92A', 'FAM92A1']",137392,ENSG00000188343
A1YPR0,Zinc finger and BTB domain-containing protein 7C,ZBTB7C,"['APM1', 'ZBTB36', 'ZNF857C']",201501,ENSG00000184828
A1Z1Q3,ADP-ribose glycohydrolase MACROD2,MACROD2,['C20orf133'],140733,ENSG00000172264
A2A288,Probable ribonuclease ZC3H12D,ZC3H12D,"['C6orf95', 'MCPIP4', 'TFL']",340152,ENSG00000178199
A2A2V5,Serine-rich and transmembrane domain-containing protein 1,SERTM1,['C13orf36'],400120,ENSG00000180440
A2A2Y4,FERM domain-containing protein 3,FRMD3,['EPB41L4O'],257019,ENSG00000172159
A2A2Z9,Ankyrin repeat domain-containing protein 18B,ANKRD18B,[],,ENSG00000230453
A2A368,Melanoma-associated antigen B16,MAGEB16,[],139604,ENSG00000189023
A2A3K4,Protein tyrosine phosphatase domain-containing protein 1,PTPDC1,['PTP9Q22'],138639,ENSG00000158079
A2A3L6,Tetratricopeptide repeat protein 24,TTC24,[],164118,ENSG00000187862
A2A3N6,Putative PIP5K1A and PSMD4-like protein,PIPSL,['PSMD4P2'],,
A2AJT9,BCLAF1 and THRAP3 family member 3,BCLAF3,['CXorf23'],256643,ENSG00000173681
A2CJ06,Dystrotelin,DYTN,[],391475,ENSG00000232125
A2IDD5,Coiled-coil domain-containing protein 78,CCDC78,['C16orf25'],124093,ENSG00000162004
A2PYH4,Probable ATP-dependent DNA helicase HFM1,HFM1,['SEC3D1'],164045,ENSG00000162669
A2RRD8,Zinc finger protein 320,ZNF320,[],162967,ENSG00000182986
A2RRH5,WD repeat-containing protein 27,WDR27,[],253769,ENSG00000184465
A2RRL7,Transmembrane protein 213,TMEM213,[],155006,ENSG00000214128
A2RRP1,NBAS subunit of NRZ tethering complex,NBAS,['NAG'],51594,ENSG00000151779
A2RTX5,"Threonine--tRNA ligase 2, cytoplasmic",TARS3,['TARSL2'],123283,ENSG00000185418
A2RTY3,Protein HEATR9,HEATR9,['C17orf66'],256957,ENSG00000276986
A2RU30,Protein TESPA1,TESPA1,['KIAA0748'],9840,ENSG00000135426
A2RU37,Uncharacterized protein encoded by LINC02872,LINC02872,['C9orf170'],,
A2RU54,Homeobox protein HMX2,HMX2,[],3167,ENSG00000188816
A2RU67,Protein FAM234B,FAM234B,['KIAA1467'],57613,ENSG00000084444
A2RUB1,Meiosis-specific coiled-coil domain-containing protein MEIOC,MEIOC,['C17orf104'],284071,ENSG00000180336
A2RUB6,Coiled-coil domain-containing protein 66,CCDC66,[],285331,ENSG00000180376
A2RUG3,,,[],,
A2RUH7,Myosin-binding protein H-like,MYBPHL,[],343263,ENSG00000221986
A2RUQ5,Uncharacterized protein TMEM132E-DT,TMEM132E-DT,['C17orf102'],,
A2RUR9,Coiled-coil domain-containing protein 144A,CCDC144A,['KIAA0565'],9720,ENSG00000170160
A2RUS2,DENN domain-containing protein 3,DENND3,['KIAA0870'],22898,ENSG00000105339
A2RUT3,Transmembrane protein 89,TMEM89,[],440955,ENSG00000183396
A2VCK2,Doublecortin domain-containing protein 2B,DCDC2B,[],149069,ENSG00000222046
A2VDJ0,Transmembrane protein 131-like,TMEM131L,['KIAA0922'],23240,ENSG00000121210
A2VEC9,SCO-spondin,SSPOP,"['KIAA2036', 'SSPO']",,
A3KMH1,von Willebrand factor A domain-containing protein 8,VWA8,['KIAA0564'],23078,ENSG00000102763
A3KN83,Protein strawberry notch homolog 1,SBNO1,['MOP3'],55206,ENSG00000139697
A3QJZ6,PRAME family member 22,PRAMEF22,[],653606,
A3QJZ7,PRAME family member 27,PRAMEF27,[],101929983,ENSG00000283425
A4D0S4,Laminin subunit beta-4,LAMB4,[],22798,ENSG00000091128
A4D0V7,Cadherin-like and PC-esterase domain-containing protein 1,CPED1,['C7orf58'],79974,ENSG00000106034
A4D0Y5,Uncharacterized protein encoded by LINC03043,LINC03043,['C7orf77'],154872,
A4D126,D-ribitol-5-phosphate cytidylyltransferase,CRPPA,['ISPD'],729920,ENSG00000214960
A4D161,Protein FAM221A,FAM221A,['C7orf46'],340277,ENSG00000188732
A4D1B5,Gamma-secretase-activating protein,GSAP,['PION'],54103,ENSG00000186088
A4D1E1,Zinc finger protein 804B,ZNF804B,[],219578,ENSG00000182348
A4D1E9,GTP-binding protein 10,GTPBP10,['OBGH2'],85865,ENSG00000105793
A4D1F6,Leucine-rich repeat and death domain-containing protein 1,LRRD1,[],401387,ENSG00000240720
A4D1N5,,,[],,
A4D1P6,WD repeat-containing protein 91,WDR91,[],29062,ENSG00000105875
A4D1S0,Killer cell lectin-like receptor subfamily G member 2,KLRG2,['CLEC15B'],346689,ENSG00000188883
A4D1S5,Ras-related protein Rab-19,RAB19,['RAB19B'],401409,ENSG00000146955
A4D1U4,DENN domain-containing protein 11,DENND11,"['KIAA1147', 'LCHN']",57189,ENSG00000262599
A4D250,B-cell acute lymphoblastic leukemia-expressed protein,BLACE,[],,
A4D256,Dual specificity protein phosphatase CDC14C,CDC14C,"['CDC14B2', 'CDC14Bretro']",,ENSG00000218305
A4D263,Spermatogenesis-associated protein 48,SPATA48,['C7orf72'],,ENSG00000164500
A4D2B8,Putative postmeiotic segregation increased 2-like protein 1,PMS2P1,"['PMS2L1', 'PMS2L13', 'PMS2L6', 'PMS2L8', 'PMS3', 'PMS8', 'PMSR2']",,
A4D2G3,Olfactory receptor 2A25,OR2A25,"['OR2A25P', 'OR2A27']",392138,ENSG00000221933
A4D2H0,cTAGE family member 15,CTAGE15,['CTAGE15P'],441294,ENSG00000285172
A4D2P6,Delphilin,GRID2IP,[],392862,ENSG00000215045
A4FU01,Myotubularin-related protein 11,MTMR11,[],10903,ENSG00000014914
A4FU28,cTAGE family member 9,CTAGE9,[],643854,ENSG00000236761
A4FU49,SH3 domain-containing protein 21,SH3D21,['C1orf113'],79729,ENSG00000214193
A4FU69,EF-hand calcium-binding domain-containing protein 5,EFCAB5,[],374786,ENSG00000176927
A4GXA9,Probable crossover junction endonuclease EME2,EME2,[],197342,ENSG00000197774
A4IF30,Solute carrier family 35 member F4,SLC35F4,['C14orf36'],341880,ENSG00000151812
A4QN01,Putative uncharacterized protein encoded by LINC01553,LINC01553,['C10orf40'],,
A4QPB2,Low-density lipoprotein receptor-related protein 5-like protein,LRP5L,[],91355,
A4QPH2,Putative phosphatidylinositol 4-kinase alpha-like protein P2,PI4KAP2,[],,
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,['CMYA3'],129446,ENSG00000163092
A5A3E0,POTE ankyrin domain family member F,POTEF,['A26C1B'],728378,ENSG00000196604
A5D8T8,C-type lectin domain family 18 member A,CLEC18A,['MRLP2'],348174,ENSG00000157322
A5D8V6,Vacuolar protein sorting-associated protein 37C,VPS37C,['PML39'],55048,ENSG00000167987
A5D8V7,Outer dynein arm-docking complex subunit 3,ODAD3,['CCDC151'],115948,ENSG00000198003
A5D8W1,Cilia- and flagella-associated protein 69,CFAP69,['C7orf63'],79846,ENSG00000105792
A5LHX3,Proteasome subunit beta type-11,PSMB11,[],122706,ENSG00000222028
A5PKW4,PH and SEC7 domain-containing protein 1,PSD,"['EFA6', 'EFA6A', 'KIAA2011', 'PSD1', 'TYL']",5662,ENSG00000059915
A5PL33,Protein KRBA1,KRBA1,['KIAA1862'],84626,ENSG00000133619
A5PLK6,Regulator of G-protein signaling protein-like,RGSL1,"['RGSL', 'RGSL2']",353299,ENSG00000121446
A5PLL1,Ankyrin repeat domain-containing protein 34B,ANKRD34B,[],340120,ENSG00000189127
A5PLN7,Protein FAM149A,FAM149A,[],25854,ENSG00000109794
A5X5Y0,5-hydroxytryptamine receptor 3E,HTR3E,[],285242,ENSG00000186038
A5YKK6,CCR4-NOT transcription complex subunit 1,CNOT1,"['CDC39', 'KIAA1007', 'NOT1']",23019,ENSG00000125107
A5YM69,Rho guanine nucleotide exchange factor 35,ARHGEF35,['ARHGEF5L'],445328,ENSG00000213214
A6BM72,Multiple epidermal growth factor-like domains protein 11,MEGF11,['KIAA1781'],84465,ENSG00000157890
A6H8M9,Cadherin-related family member 4,CDHR4,['CDH29'],389118,ENSG00000187492
A6H8Y1,Transcription factor TFIIIB component B'' homolog,BDP1,"['KIAA1241', 'KIAA1689', 'TFNR']",55814,ENSG00000273873
A6H8Z2,Protein FAM221B,FAM221B,['C9orf128'],392307,ENSG00000204930
A6NC05,Glutaredoxin-like protein C5orf63,C5orf63,[],401207,ENSG00000164241
A6NC57,Ankyrin repeat domain-containing protein 62,ANKRD62,[],342850,ENSG00000181626
A6NC62,Putative RBAK downstream neighbor protein,RBAKDN,[],,
A6NC78,Putative golgin subfamily A member 8I,GOLGA8IP,"['GOLGA8I', 'GOLGA9P']",,
A6NC97,Putative protein FAM172B,FAM172BP,['FAM172B'],,
A6NC98,Coiled-coil domain-containing protein 88B,CCDC88B,['BRLZ'],283234,ENSG00000168071
A6NCC3,Golgin subfamily A member 8O,GOLGA8O,[],728047,ENSG00000206127
A6NCF6,Putative MAGE domain-containing protein MAGEA13P,MAGEA13P,[],,
A6NCI4,von Willebrand factor A domain-containing protein 3A,VWA3A,[],146177,ENSG00000175267
A6NCI5,Putative transmembrane protein encoded by LINC00862,LINC00862,"['C1orf98', 'SMIM16']",,
A6NCI8,Uncharacterized protein C2orf78,C2orf78,[],388960,ENSG00000187833
A6NCJ1,Tektin bundle-interacting protein 1,TEKTIP1,['C19orf71'],100128569,ENSG00000183397
A6NCL1,Geminin coiled-coil domain-containing protein 1,GMNC,['GEMC1'],647309,ENSG00000205835
A6NCL7,Ankyrin repeat domain-containing protein 33B,ANKRD33B,[],651746,ENSG00000164236
A6NCM1,IQ and AAA domain-containing protein 1-like,IQCA1L,['IQCA1P1'],392843,ENSG00000278685
A6NCN8,Testis-expressed protein 52,TEX52,[],,ENSG00000283297
A6NCQ9,RING finger protein 222,RNF222,[],643904,ENSG00000189051
A6NCS4,Homeobox protein Nkx-2.6,NKX2-6,['NKX2F'],137814,ENSG00000180053
A6NCS6,Uncharacterized protein C2orf72,C2orf72,[],257407,ENSG00000204128
A6NCW0,Ubiquitin carboxyl-terminal hydrolase 17-like protein 3,USP17L3,"['USP17B', 'USP17F']",645836,ENSG00000225327
A6NCW7,Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4,USP17L4,[],645402,ENSG00000236125
A6ND36,Protein FAM83G,FAM83G,['PAWS1'],644815,ENSG00000188522
A6NDA9,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",LRIT2,['LRRC22'],340745,ENSG00000204033
A6NDB9,Paralemmin-3,PALM3,[],342979,ENSG00000288318
A6NDD5,Synapse differentiation-inducing gene protein 1-like,SYNDIG1L,['TMEM90A'],646658,ENSG00000183379
A6NDE4,"RNA-binding motif protein, Y chromosome, family 1 member B",RBMY1B,[],378948,ENSG00000242875
A6NDE8,G antigen 12H,GAGE12H,[],729442,ENSG00000224902
A6NDI0,Putative tripartite motif-containing protein 49B,TRIM49B,['RNF18B'],283116,ENSG00000182053
A6NDK9,Golgin subfamily A member 6C,GOLGA6C,[],653641,ENSG00000167195
A6NDL7,Putative methyltransferase-like protein 21E pseudogene,METTL21EP,['METTL21CP1'],,
A6NDL8,Olfactory receptor 6C68,OR6C68,[],403284,ENSG00000205327
A6NDN3,Golgin subfamily A member 6B,GOLGA6B,['GOLGA'],55889,ENSG00000215186
